#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                 659             1.25384              1.1704           0.0131645
                 660             1.25474             1.17052           0.0131452
                 661             1.25564             1.17065           0.0131259
                 662             1.25655             1.17078           0.0131067
                 663             1.25747             1.17091           0.0130876
                 664              1.2584             1.17105           0.0130686
                 665             1.25933             1.17118           0.0130496
                 666             1.26026             1.17131           0.0130307
                 667             1.26119             1.17145           0.0130119
                 668             1.26213             1.17158           0.0129931
                 669             1.26306             1.17172           0.0129744
                 670               1.264             1.17186           0.0129558
                 671             1.26492               1.172           0.0129372
                 672             1.26584             1.17213           0.0129187
                 673             1.26676             1.17228           0.0129003
                 674             1.26767             1.17242           0.0128819
                 675             1.26856             1.17256           0.0128636
                 676             1.26944              1.1727           0.0128454
                 677             1.27031             1.17285           0.0128272
                 678             1.27117             1.17299           0.0128091
                 679               1.272             1.17314           0.0127911
                 680             1.27282             1.17328           0.0127731
                 681             1.27362             1.17343           0.0127552
                 682              1.2744             1.17358           0.0127373
                 683             1.27515             1.17373           0.0127196
                 684             1.27588             1.17388           0.0127018
                 685             1.27658             1.17403           0.0126842
                 686             1.27725             1.17418           0.0126666
                 687              1.2779             1.17433           0.0126491
                 688             1.27851             1.17448           0.0126316
                 689              1.2791             1.17463           0.0126142
                 690             1.27965             1.17478           0.0125968
                 691             1.28017             1.17494           0.0125795
