#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                 395       -6.366828e+00       -6.346969e+00        4.194739e-03
                 396       -6.381789e+00       -6.347057e+00        4.185068e-03
                 397       -6.434148e+00       -6.347277e+00        4.180272e-03
                 398       -6.371512e+00       -6.347338e+00        4.170212e-03
                 399       -6.424581e+00       -6.347531e+00        4.164251e-03
                 400       -6.465251e+00       -6.347825e+00        4.164227e-03
                 401       -6.369832e+00       -6.347880e+00        4.154204e-03
                 402       -6.370152e+00       -6.347936e+00        4.144240e-03
                 403       -6.387453e+00       -6.348034e+00        4.135116e-03
                 404       -6.275583e+00       -6.347855e+00        4.128768e-03
                 405       -6.267076e+00       -6.347655e+00        4.123388e-03
                 406       -6.250460e+00       -6.347416e+00        4.120175e-03
                 407       -6.210744e+00       -6.347080e+00        4.123714e-03
                 408       -6.281783e+00       -6.346920e+00        4.116711e-03
                 409       -6.219348e+00       -6.346608e+00        4.118445e-03
                 410       -6.283181e+00       -6.346453e+00        4.111304e-03
                 411       -6.320535e+00       -6.346390e+00        4.101785e-03
                 412       -6.348340e+00       -6.346395e+00        4.091832e-03
                 413       -6.377914e+00       -6.346471e+00        4.082636e-03
                 414       -6.354796e+00       -6.346491e+00        4.072824e-03
                 415       -6.389351e+00       -6.346595e+00        4.064319e-03
                 416       -6.422205e+00       -6.346776e+00        4.058611e-03
                 417       -6.420099e+00       -6.346952e+00        4.052685e-03
                 418       -6.340654e+00       -6.346937e+00        4.043018e-03
                 419       -6.345020e+00       -6.346933e+00        4.033371e-03
                 420       -6.311335e+00       -6.346848e+00        4.024659e-03
                 421       -6.323843e+00       -6.346793e+00        4.015470e-03
                 422       -6.293392e+00       -6.346667e+00        4.007948e-03
                 423       -6.341030e+00       -6.346653e+00        3.998495e-03
                 424       -6.298567e+00       -6.346540e+00        3.990672e-03
                 425       -6.370215e+00       -6.346596e+00        3.981671e-03
                 426       -6.369449e+00       -6.346649e+00        3.972686e-03
                 427       -6.338992e+00       -6.346631e+00        3.963423e-03
                 428       -6.332729e+00       -6.346599e+00        3.954296e-03
                 429       -6.241439e+00       -6.346354e+00        3.952669e-03
                 430       -6.232607e+00       -6.346089e+00        3.952318e-03
                 431       -6.290930e+00       -6.345961e+00        3.945220e-03
                 432       -6.332992e+00       -6.345931e+00        3.936201e-03
                 433       -6.260332e+00       -6.345733e+00        3.932072e-03
                 434       -6.359376e+00       -6.345765e+00        3.923137e-03
                 435       -6.444733e+00       -6.345992e+00        3.920710e-03
                 436       -6.464798e+00       -6.346265e+00        3.921175e-03
                 437       -6.564057e+00       -6.346763e+00        3.943747e-03
                 438       -6.572661e+00       -6.347279e+00        3.968324e-03
                 439       -6.614950e+00       -6.347889e+00        4.005853e-03
                 440       -6.520290e+00       -6.348281e+00        4.015865e-03
                 441       -6.508694e+00       -6.348644e+00        4.023199e-03
                 442       -6.452372e+00       -6.348879e+00        4.020935e-03
                 443       -6.437845e+00       -6.349080e+00        4.016871e-03
                 444       -6.404596e+00       -6.349205e+00        4.009769e-03
                 445       -6.394003e+00       -6.349306e+00        4.002022e-03
                 446       -6.308183e+00       -6.349213e+00        3.994111e-03
                 447       -6.329146e+00       -6.349168e+00        3.985428e-03
                 448       -6.291763e+00       -6.349040e+00        3.978591e-03
                 449       -6.365993e+00       -6.349078e+00        3.969909e-03
                 450       -6.390404e+00       -6.349170e+00        3.962149e-03
                 451       -6.390018e+00       -6.349260e+00        3.954399e-03
                 452       -6.428734e+00       -6.349436e+00        3.949558e-03
                 453       -6.474471e+00       -6.349712e+00        3.950472e-03
                 454       -6.487583e+00       -6.350016e+00        3.953425e-03
                 455       -6.428699e+00       -6.350189e+00        3.948517e-03
                 456       -6.429993e+00       -6.350364e+00        3.943734e-03
                 457       -6.405327e+00       -6.350484e+00        3.936938e-03
                 458       -6.307631e+00       -6.350391e+00        3.929454e-03
